model,threshold,attribute,comparison,privileged_or_reference_group,statistical_parity_difference,disparate_impact_ratio,equal_opportunity_difference,average_odds_difference
XGBoost,0.5,Age,>65 vs <=65,<=65,0.16335486381244918,1.8250509654954101,0.08040027605244993,0.10658743522265081
XGBoost,0.5,Gender,Female vs Male,Male,0.03533087727564438,1.131634104632334,0.00807017543859656,0.01545147202497002
XGBoost,0.5,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.24627871941390655,3.690595009596929,0.114059853190288,0.15111191214534017
XGBoost,0.5,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.05664461604344162,1.2401412595644496,0.18860634624869843,0.10294981372343345
XGBoost,0.5,ICUType,Other vs Medical ICU,Medical ICU,-0.21626843448667044,0.49217514359443937,-0.1137527175818781,-0.14388610938922625
XGBoost,0.5,ICUType,Other vs Surgical ICU,Surgical ICU,-0.0024043277900220317,0.9915848527349229,0.0002907942838151767,0.0023351267978379137
XGBoost,0.55,Age,>65 vs <=65,<=65,0.14517630022733857,1.8729013099383467,0.07533931446974929,0.09456357230436024
XGBoost,0.55,Gender,Female vs Male,Male,0.03837725533522346,1.1699891150832562,0.008596491228070158,0.01773650718430729
XGBoost,0.55,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.20960029632622826,3.6549370867988915,0.12361861740743718,0.13675622836333215
XGBoost,0.55,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.06479383025778307,1.3451848302228797,0.1724941086205951,0.10099855032310671
XGBoost,0.55,ICUType,Other vs Medical ICU,Medical ICU,-0.19495355927396482,0.4740076518412243,-0.1165930289641629,-0.13310713927193923
XGBoost,0.55,ICUType,Other vs Surgical ICU,Surgical ICU,-0.00039461274195992657,0.9983762887893548,0.008516118311731491,0.006784475811716845
XGBoost,0.6,Age,>65 vs <=65,<=65,0.13248314515473966,1.968814968814969,0.11824246606855304,0.10587977191548137
XGBoost,0.6,Gender,Female vs Male,Male,0.03909924693534367,1.206429199459587,0.0026315789473684292,0.015946157713458364
XGBoost,0.6,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.17785576350121737,3.6346769033909148,0.11700411389852383,0.11740629572022562
XGBoost,0.6,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.06123007671113942,1.3963495288183434,0.11607387515756007,0.07497727468120369
XGBoost,0.6,ICUType,Other vs Medical ICU,Medical ICU,-0.17155594157685763,0.4622756819823324,-0.11266568483063333,-0.11821255207295793
XGBoost,0.6,ICUType,Other vs Surgical ICU,Surgical ICU,0.0025191686499112798,1.0123064068514815,0.03464606181455632,0.019142362724747453
XGBoost,0.65,Age,>65 vs <=65,<=65,0.12253269433839657,2.132082551594747,0.1228433402346445,0.10326019840553932
XGBoost,0.65,Gender,Female vs Male,Male,0.03983951680382139,1.2565388538696938,0.016666666666666607,0.022651728814065138
XGBoost,0.65,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.15663051896619626,4.1112516721921715,0.1228523029765266,0.11056864956019113
XGBoost,0.65,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.04496586813818565,1.3341907730763922,0.080040554611717,0.05077348155503115
XGBoost,0.65,ICUType,Other vs Medical ICU,Medical ICU,-0.14545519001701643,0.45759799061405254,-0.08811978399607256,-0.09430316250297091
XGBoost,0.65,ICUType,Other vs Surgical ICU,Surgical ICU,0.0016089937497251183,1.0093762681456062,0.02176802924559651,0.013111036893863733
XGBoost,0.7,Age,>65 vs <=65,<=65,0.10107642367410054,2.181720657029299,0.10892569588221768,0.0866743811251524
XGBoost,0.7,Gender,Female vs Male,Male,0.03697084413105112,1.3017254238973697,0.012982456140350873,0.020134615226970423
XGBoost,0.7,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.13362131440593472,4.892834293026231,0.186496733080584,0.1306002131012275
XGBoost,0.7,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.03427362978809109,1.3126170474610732,0.04641858935715465,0.031045567797884834
XGBoost,0.7,ICUType,Other vs Medical ICU,Medical ICU,-0.11087280204197389,0.47573547900427465,-0.07370783364892353,-0.07012066392202708
XGBoost,0.7,ICUType,Other vs Surgical ICU,Surgical ICU,-0.010647213765265284,0.9272440392706872,-0.00016616816218006925,-0.0034160325490166996
XGBoost,0.75,Age,>65 vs <=65,<=65,0.0717570655972627,2.0960313083968996,0.06717276282493673,0.055246605841105655
XGBoost,0.75,Gender,Female vs Male,Male,0.032737394087589466,1.3683783536724714,0.03842105263157897,0.02940402637034974
XGBoost,0.75,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.10722866165664516,6.51281472281811,0.19129628135839316,0.12372189854321007
XGBoost,0.75,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.029637328191881487,1.3796100334364394,0.05598180522825669,0.03404906884589997
XGBoost,0.75,ICUType,Other vs Medical ICU,Medical ICU,-0.0929789421440726,0.43389812216706236,-0.08289501367557328,-0.06778104454471491
XGBoost,0.75,ICUType,Other vs Surgical ICU,Surgical ICU,-0.005459827689841712,0.949041608228144,0.0042372881355932646,0.0009219092996176383
XGBoost,0.8,Age,>65 vs <=65,<=65,0.04581469347396837,2.0208591698787775,0.05578559926386012,0.038408947077538086
XGBoost,0.8,Gender,Female vs Male,Male,0.02017311551053235,1.335415681772135,0.026491228070175454,0.018277573755627288
XGBoost,0.8,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.06925893553879692,5.6563315123775775,0.10728402032749859,0.06883853347148082
XGBoost,0.8,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.02256163973726972,1.4527369040612124,0.0713815969748452,0.03808761866028358
XGBoost,0.8,ICUType,Other vs Medical ICU,Medical ICU,-0.07761096142938173,0.3527716186252772,-0.1297426186969633,-0.08181618781211963
XGBoost,0.8,ICUType,Other vs Surgical ICU,Surgical ICU,0.013697826819983286,1.2312515469020708,0.08079926886008643,0.04318731008458128
XGBoost,0.85,Age,>65 vs <=65,<=65,0.024882896055018547,1.9425641025641025,0.046468829077524726,0.027158759749414625
XGBoost,0.85,Gender,Female vs Male,Male,0.013283223799117769,1.394600301659125,0.0368421052631579,0.02036651056002387
XGBoost,0.85,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.03883132683582444,5.242322456813819,0.03521013148342339,0.0264716300758312
XGBoost,0.85,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.015211214726661572,1.5723219540906417,0.017756343508521955,0.013086728085575249
XGBoost,0.85,ICUType,Other vs Medical ICU,Medical ICU,-0.051678601815087925,0.2959430089350398,-0.11129812749842205,-0.0658575248160412
XGBoost,0.85,ICUType,Other vs Surgical ICU,Surgical ICU,0.015083247406306961,1.5247141824981938,0.11079262213359921,0.055552223695048274
XGBoost,0.9,Age,>65 vs <=65,<=65,0.004213335258741806,1.4200029989503675,-0.006326201978375898,-0.002901878185174688
XGBoost,0.9,Gender,Female vs Male,Male,0.00539716646222085,1.5465857671740024,0.010350877192982444,0.0064203567980731895
XGBoost,0.9,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.015674984005118364,,0.07421150278293136,0.038845217955052844
XGBoost,0.9,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.0026877252399789605,1.2696684324112224,0.013700882336822491,0.0061807942300461894
XGBoost,0.9,ICUType,Other vs Medical ICU,Medical ICU,-0.02010068065796937,0.20975609756097563,-0.06907917806297775,-0.035985367398214216
XGBoost,0.9,ICUType,Other vs Surgical ICU,Surgical ICU,0.007407235462857533,2.0629382889200563,0.049435028248587566,0.02511972656662718
