feature,coefficient,abs_coefficient
Creatinine_max,0.0,0.0
FiO2_median,0.0,0.0
DiasABP_median,0.0,0.0
DiasABP_min,0.0,0.0
DiasABP_missing,0.0,0.0
DiasABP_std,0.0,0.0
BUN_max,0.0,0.0
BUN_first,0.0,0.0
BUN_count,0.0,0.0
Creatinine_mean,0.0,0.0
BUN_min,0.0,0.0
BUN_median,0.0,0.0
BUN_mean,0.0,0.0
BUN_missing,0.0,0.0
DiasABP_last,0.0,0.0
FiO2_count,0.0,0.0
FiO2_first,0.0,0.0
DiasABP_mean,0.0,0.0
GCS_median,0.0,0.0
GCS_max,0.0,0.0
Glucose_max,0.0,0.0
Glucose_mean,0.0,0.0
HCT_first,0.0,0.0
HCO3_missing,0.0,0.0
HCT_min,0.0,0.0
HCT_missing,0.0,0.0
HR_first,0.0,0.0
HCT_mean,0.0,0.0
HR_median,0.0,0.0
HR_missing,0.0,0.0
MechVent_min,0.0,0.0
MechVent_median,0.0,0.0
MechVent_mean,0.0,0.0
MechVent_max,0.0,0.0
MechVent_first,0.0,0.0
MechVent_last,0.0,0.0
MechVent_count,0.0,0.0
MAP_std,0.0,0.0
MAP_median,0.0,0.0
NISysABP_std,0.0,0.0
Na_max,0.0,0.0
NISysABP_mean,0.0,0.0
Na_mean,0.0,0.0
NISysABP_count,0.0,0.0
NISysABP_median,0.0,0.0
PaCO2_first,0.0,0.0
NIDiasABP_median,0.0,0.0
NIDiasABP_max,0.0,0.0
NIDiasABP_last,0.0,0.0
NIDiasABP_first,0.0,0.0
Mg_std,0.0,0.0
NIDiasABP_count,0.0,0.0
Mg_mean,0.0,0.0
Mg_min,0.0,0.0
NIMAP_mean,0.0,0.0
NIMAP_count,0.0,0.0
NIDiasABP_missing,0.0,0.0
NIMAP_min,0.0,0.0
NIMAP_missing,0.0,0.0
NISysABP_max,0.0,0.0
NISysABP_last,0.0,0.0
MechVent_std,0.0,0.0
PaO2_missing,0.0,0.0
PaO2_mean,0.0,0.0
PaCO2_min,0.0,0.0
PaO2_count,0.0,0.0
PaCO2_mean,0.0,0.0
PaCO2_max,0.0,0.0
PaCO2_count,0.0,0.0
Urine_max,0.0,0.0
Platelets_missing,0.0,0.0
Platelets_min,0.0,0.0
Platelets_median,0.0,0.0
SysABP_count,0.0,0.0
SysABP_last,0.0,0.0
SysABP_max,0.0,0.0
SysABP_mean,0.0,0.0
SysABP_median,0.0,0.0
Platelets_mean,0.0,0.0
Urine_first,0.0,0.0
Temp_std,0.0,0.0
SysABP_std,0.0,0.0
SysABP_missing,0.0,0.0
Temp_first,0.0,0.0
Platelets_count,0.0,0.0
Platelets_max,0.0,0.0
WBC_std,0.0,0.0
WBC_median,0.0,0.0
WBC_max,0.0,0.0
Urine_median,0.0,0.0
pH_median,0.0,0.0
pH_max,0.0,0.0
pH_last,0.0,0.0
pH_missing,0.0,0.0
